번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보(X),좌표정보(Y)
7432,3660000-S201200002,2012-07-11,,사용중,도안동 금성백조 예미지 지하주차장 1층,공공용시설,대전광역시 서구 도안북로 125 (금성백조예미지아파트),대전광역시 서구 도안동 965번지,35350,지하,25588.48,31016,2024-02-06 12:11,U,2024-02-08 2:40,36,19,49.01,127,20,33.16,36.33028078,127.3425454,985868.3966,1814778.915
7433,3660000-S201400001,2014-02-05,,사용중,도안동 도안아이파크 지하주차장 1층,공공용시설,대전광역시 서구 도안동로 183 (도안동),대전광역시 서구 도안동 1362번지,35355,지하,41889,50774,2024-02-06 12:15,U,2024-02-08 2:40,36,19,15.83,127,20,44.99,36.32106256,127.3458293,986161.4949,1813755.949
7434,3660000-S201700001,2017-08-08,,사용중,가수원동 모아드림아파트 지하주차장 1층,공공용시설,"대전광역시 서구 가수원로 83 (가수원동, 모아드림아파트)",대전광역시 서구 가수원동 1392번지,35385,지하,5105.86,6188,2023-07-07 9:03,I,2023-07-28 1:14,36,18,5.55,127,21,0.24,36.30154271,127.3500657,986538.4067,1811590.199
7435,3660000-S201700002,2017-08-08,,사용중,도안동 린풀하우스아파트 지하주차장 1층,공공용시설,"대전광역시 서구 도안동로 77(도안동, 도안18단지린풀하우스)",대전광역시 서구 도안동 1564 도안18단지린풀하우스,35367,지하,46454.42,56308,2024-02-06 12:22,U,2024-02-08 2:40,36,18,42.34,127,20,59.35,36.3117619,127.3498202,986518.1197,1812723.75
7436,3660000-S201800001,2018-01-16,,사용중,도안동 도안리슈빌 아파트 지하주차장 1층,공공용시설,"대전광역시 서구 도안동로 123 (도안동, 도안리슈빌)",대전광역시 서구 도안동 1369번지,35356,지하,12537,15196,2024-02-06 12:27,U,2024-02-08 2:40,36,19,0.99,127,20,51.81,36.31694117,127.3477236,986330.8122,1813298.531
7437,3660000-S201800002,2018-07-31,,사용중,복수동 삼익목화2차아파트 P1 지하주차장 1층,공공용시설,"대전광역시 서구 복수북로 42 (복수동, 삼익목화아파트)",대전광역시 서구 복수동 280번지,35404,지하,4788.38,5804,2023-07-12 14:35,I,2023-07-28 1:14,36,18,29.71,127,22,27.37,36.30825393,127.3742683,988712.3645,1812331.515
7438,3660000-S201800003,2018-07-31,,사용중,복수동 삼익목화2차아파트 P2 지하주차장 1층,공공용시설,"대전광역시 서구 복수북로 42 (복수동, 삼익목화아파트)",대전광역시 서구 복수동 280번지,35404,지하,3539.35,4290,2023-07-12 14:35,I,2023-07-28 1:14,36,18,29.71,127,22,27.37,36.30825393,127.3742683,988712.3645,1812331.515
7439,3660000-S202300001,2023-09-05,,사용중,도마1동 도마e편한세상포레나아파트 지하주차장 1층,공공용시설,"대전광역시 서구 도산로 8 (도마동, 도마 e편한세상 포레나)",대전광역시 서구 도마동 584 도마 e편한세상 포레나,35402,지하,38617,46808,2023-11-08 10:01,U,2023-11-10 2:40,36,18,41.88,127,23,2.62,36.31163314,127.3840606,989591.9204,1812705.24
7440,3660000-S202300002,2023-09-04,,사용중,갈마1동 갤러리 휴리움 아파트 지하주차장,공공용시설,"대전광역시 서구 신갈마로 186 (갈마동, 갤러리휴리움)",대전광역시 서구 갈마동 1496 갤러리휴리움,35276,지하,16461,19952,2024-02-13 15:17,U,2024-02-15 2:40,36,21,0.92,127,22,6.17,36.35025483,127.3683799,988190.0685,1816990.992
7441,3660000-S202300003,2023-09-08,,사용중,탄방동 e편한세상 1단지 아파트 지하주차장 1~2층,공공용시설,"대전광역시 서구 계룡로615번길 69 (탄방동, e편한세상 둔산)",대전광역시 서구 탄방동 1485 e편한세상 둔산,35258,지하,8717,10566,2024-02-14 13:59,U,2024-02-16 2:40,36,20,32.43,127,23,37.96,36.34234094,127.3938791,990477.0809,1816110.361
